Rank;Genre;Nom de la chaÓne;Nombre díabonnÈs;Nombre total de vues;Nombre de vidÈos publiÈes;AnnÈe
1;Music;T-Series;237000000;2,16496E+11;18831;2006
2;Education;Cocomelon - Nursery Rhymes;154000000;1,52639E+11;861;2006
3;Film & Animation;SET India;152000000;1,40138E+11;105649;2006
76;Entertainment;MrBeast;135000000;22825311283;735;2012
38;Gaming;PewDiePie;111000000;28920114696;4700;2010
5;People & Blogs;‚úø Kids Diana Show;108000000;88452629066;1070;2015
6;People & Blogs;Like Nastya;104000000;88060349741;762;2016
8;Entertainment;Vlad and Niki;93900000;73333582362;530;2018
7;Sports;WWE;93500000;74447865775;66901;2007
11;Music;Zee Music Company;92800000;54295114324;7768;2014
36;People & Blogs;BLACKPINK;84400000;29178260651;475;2016
86;Film & Animation;Goldmines;82700000;22065857870;5350;2012
59;Howto & Style;5-Minute Crafts;78900000;25251693106;6022;2016
4;Film & Animation;Sony SAB;77500000;92952274861;65028;2007
118;Music;BANGTANTV;73700000;19590473596;2122;2012
33;Music;Justin Bieber;71000000;29802309718;249;2007
48;Music;HYBE LABELS;69300000;26485581171;1108;2008
22;Music;Canal KondZilla;66400000;37297721449;2393;2012
18;Entertainment;Zee TV;65900000;42064672138;98369;2005
23;Education;Pinkfong Baby Shark - Kids' Songs & Stories;65700000;36688824621;2647;2011
32;Music;Shemaroo Filmi Gaane;64000000;30308486987;8535;2010
17;Education;ChuChu TV Nursery Rhymes & Kids Songs;61900000;42589514748;546;2013
10;Film & Animation;Colors TV;60200000;58056997206;104523;2008
168;Sports;Dude Perfect;58900000;15546930951;368;2009
9;Film & Animation;Movieclips;58700000;58923017461;40063;2006
44;Music;T-Series Bhakti Sagar;58100000;27517331414;25114;2011
29;Music;Tips Official;57000000;31392740249;4182;2007
20;Music;Wave Music;56300000;39258909308;19031;2014
210;Entertainment;Marshmello;56100000;14135252265;410;2015
43;Music;Sony Music India;55900000;27598909527;3457;2009
73;News & Politics;Aaj Tak;55700000;23158451096;242010;2009
12;Music;El Reino Infantil;55600000;54151900416;1434;2011
57;Music;EminemMusic;55400000;25713668530;140;2007
35;Music;Ed Sheeran;53000000;29256187171;264;2006
30;Music;LooLoo Kids - Nursery Rhymes and Children's Songs;52900000;31261734882;621;2014
72;Music;Ariana Grande;52300000;23242590833;146;2007
28;Film & Animation;YRF;52200000;33001702137;3528;2006
42;Music;Taylor Swift;51000000;28081584959;206;2006
41;Education;Infobells - Hindi;49200000;28093078858;526;2014
205;Gaming;JuegaGerman;47400000;14250671651;2024;2013
252;Music;Billie Eilish;47400000;12975261721;51;2013
123;Entertainment;Badabun;46500000;19155168575;17002;2014
39;Music;Bad Bunny;45300000;28697537555;128;2014
53;Music;SonyMusicIndiaVEVO;45200000;26094337405;3369;2009
154;Entertainment;Felipe Neto;44900000;16154751854;4018;2006
34;Entertainment;Get Movies;44800000;29583070279;3193;2006
77;Entertainment;Shemaroo;44800000;22772741613;10873;2007
101;Gaming;A4;44400000;20710970132;722;2014
65;Music;Katy Perry;43900000;24847554662;120;2008
109;Entertainment;Voot Kids;43000000;20019473962;4064;2016
269;Music;Alan Walker;42900000;12376238565;366;2012
15;People & Blogs;ABS-CBN Entertainment;42600000;49164270097;187424;2008
122;Entertainment;Like Nastya Show;42200000;19238935770;577;2017
55;Music;Speed Records;42000000;26010508068;10682;2012
25;Film & Animation;–ú–∞—à–∞ –∏ –ú–µ–¥–≤–µ–¥—å;41600000;35041524012;1316;2011
96;Entertainment;Rihanna;41200000;21484482902;82;2005
21;Education;Little Baby Bum - Nursery Rhymes & Kids Songs;40800000;38840192263;2287;2011
56;People & Blogs;Shakira;40800000;25929013006;308;2005
27;Entertainment;ARY Digital HD;39800000;33692884745;92357;2016
150;Film & Animation;Ishtar Music;39800000;16502312582;4589;2005
83;Film & Animation;Masha and The Bear;39200000;22375849147;1063;2014
93;People & Blogs;LUCCAS NETO - LUCCAS TOON;38800000;21619683879;2067;2014
16;Entertainment;Toys and Colors;38600000;44642348659;910;2016
64;Music;GR6 EXPLODE;38500000;24945998838;4156;2014
24;Entertainment;WorkpointOfficial;38300000;35265515153;68255;2012
79;Entertainment;TheEllenShow;38300000;22582266136;15189;2006
78;People & Blogs;shfa2 - ÿ¥ŸÅÿß;38200000;22708961183;1497;2017
26;Entertainment;HAR PAL GEO;38000000;33884922133;84696;2008
240;Music;One Direction;37900000;13221594419;157;2010
19;Education;Super Simple Songs - Kids Songs;37800000;41715976696;667;2006
87;Music;Daddy Yankee;37600000;21894518622;476;2011
104;People & Blogs;shfa;37400000;20481763979;936;2015
157;Comedy;Jkk Entertainment;36900000;16018445865;209;2017
175;Gaming;Mikecrack;36900000;15307321273;1815;2015
163;Music;Goldmines Gaane Sune Ansune;36700000;15801754186;3439;2015
51;Entertainment;‡∏ä‡πà‡∏≠‡∏á one31;36400000;26280826947;106483;2013
89;Music;Maroon 5;36400000;21827045577;163;2006
128;Music;Bruno Mars;36200000;18587225564;99;2006
136;Entertainment;Like Nastya ESP;36100000;17419748354;695;2017
74;People & Blogs;Maria Clara & JP;36000000;22985098433;699;2015
50;Film & Animation;Sony PAL;35900000;26412224144;22211;2014
81;Music;Ozuna;35900000;22495873334;164;2016
172;Film & Animation;Ultra Bollywood;35600000;15504494143;8911;2009
289;People & Blogs;ABP NEWS;35500000;11840564703;262326;2012
116;Gaming;Markiplier;34500000;19675534854;5422;2012
13;Entertainment;Ryan's World;34400000;54008224558;2321;2015
182;News & Politics;IndiaTV;34200000;15056762678;257886;2006
60;Music;La Granja de Zen√≥n;34000000;25243742160;613;2013
82;Music;J Balvin;33900000;22414170197;134;2011
107;Music;T-Series Apna Punjab;33800000;20285993947;7272;2011
273;Music;Geet MP3;33800000;12326155433;630;2016
138;Film & Animation;PowerKids TV;33700000;17230651240;4210;2014
178;Gaming;VEGETTA777;33600000;15241121694;7395;2008
80;Gaming;SSSniperWolf;33300000;22571436070;3224;2013
98;Music;Bollywood Classics;33300000;20890501469;1970;2012
47;Entertainment;Ch3Thailand;32700000;26827714564;86169;2014
63;Film & Animation;Galinha Pintadinha;32600000;24972463590;65;2006
214;Entertainment;Saregama Music;32500000;13910019443;6796;2013
271;Film & Animation;Selena Gomez;32500000;12371602129;188;2008
208;Music;Rajshri;32200000;14170970073;3863;2006
75;Education;Genevieve's Playhouse - Learning Videos for Kids;32100000;22903828008;595;2016
120;Education;CVS 3D Rhymes & Kids Songs;32100000;19508008622;338;2008
135;Entertainment;Eros Now Music;32100000;17427689200;9884;2007
45;Music;DisneyMusicVEVO;31700000;27023117927;1942;2010
54;Music;JustinBieberVEVO;31700000;26082718186;204;2009
58;Education;BabyBus - Kids Songs and Cartoons;31700000;25652048457;1999;2016
260;Gaming;rezendeevil;31700000;12889926707;11800;2012
49;Music;SMTOWN;31500000;26475897382;4086;2006
188;Entertainment;Luis Fonsi;31300000;14875629871;146;2014
95;Music;The Weeknd;31100000;21532436284;131;2011
145;Comedy;The Tonight Show Starring Jimmy Fallon;30700000;16798836162;8627;2006
162;Music;Worldwide Records Bhojpuri;30700000;15817809026;6270;2012
217;Music;Trap Nation;30500000;13824911510;2626;2012
85;Film & Animation;Peppa Pig - Official Channel;30300000;22078360113;2645;2013
155;Film & Animation;Wow Kidz;30300000;16131404685;3843;2015
40;Entertainment;GMANetwork;30100000;28240012927;128766;2006
115;Entertainment;DONA ÎèÑÎÇò;30000000;19780472075;163;2018
161;Music;ImagineDragons;30000000;15834294546;87;2009
234;Entertainment;Boram Tube Vlog [Î≥¥ÎûåÌäúÎ∏å Î∏åÏù¥Î°úÍ∑∏];30000000;13377630192;223;2012
100;Music;Spinnin' Records;29900000;20780114029;11110;2007
268;Music;Shawn Mendes;29800000;12386316820;133;2011
91;Education;Little Angel: Nursery Rhymes & Kids Songs;29600000;21699308772;1232;2015
227;Music;Adele;29600000;13537940105;15;2008
46;Entertainment;ŸÇŸÜÿßÿ© ÿ∑ŸäŸàÿ± ÿßŸÑÿ¨ŸÜÿ© | toyoraljanahtv;29500000;26955901326;3191;2008
194;Comedy;Talking Tom;29400000;14668889695;481;2010
144;Music;Ultra Records;29200000;16804461102;4762;2006
158;Music;KAROL G;29200000;15994167450;125;2013
184;News & Politics;Zee News;29100000;15011751869;163510;2007
103;Music;Maluma;29000000;20560950991;21;2018
160;Gaming;jacksepticeye;29000000;15919199568;5060;2007
139;Education;infobells - Tamil;27800000;17173454323;505;2014
66;Music;Aditya Music;27600000;24574327626;21020;2008
200;Music;Drake;27600000;14356230404;58;2009
108;Music;Bounce Patrol - Kids Songs;27500000;20270757904;238;2013
222;Music;Michael Jackson;27300000;13660689522;15;2005
246;Music;Wiz Khalifa;27100000;13052346340;625;2008
165;Entertainment;A.O.D;27000000;15765845822;2475;2014
212;Education;infobells - Telugu;27000000;14039843017;460;2014
112;Entertainment;StarPlus;26700000;19979785524;28853;2006
189;Music;toycantando;26700000;14872023832;536;2009
90;Film & Animation;Nick Jr.;26600000;21722772621;5145;2012
127;Music;JYP Entertainment;26500000;18770165069;1602;2008
124;Gaming;DanTDM;26400000;19050281081;3642;2012
111;Music;WORLDSTARHIPHOP;26300000;19998524070;6737;2008
272;Film & Animation;Masha y el Oso;26300000;12367072234;963;2016
176;Gaming;VanossGaming;25800000;15293265339;1685;2011
67;Music;TaylorSwiftVEVO;25700000;24560011076;262;2009
133;Music;Mar√≠lia Mendon√ßa;25700000;17838306451;120;2013
204;News & Politics;Raffy Tulfo in Action;25700000;14285926489;9494;2016
147;Music;Beyonc√©;25600000;16730963436;238;2005
99;Entertainment;HUM TV;25400000;20838737685;89867;2011
126;Music;RihannaVEVO;25200000;18901031758;118;2009
142;Music;David Guetta;25100000;16994708151;707;2009
156;Music;WatchMojo.com;25000000;16105744207;23791;2007
225;Music;Post Malone;24900000;13588917689;64;2011
114;Music;EminemVEVO;24800000;19815644789;104;2009
71;Music;KatyPerryVEVO;24700000;23318716419;173;2009
191;Music;Chris Brown;24700000;14822220945;25;2006
151;Music;Coldplay;24500000;16364615455;372;2010
229;Entertainment;TRANS7 OFFICIAL;24500000;13529296723;84587;2014
70;Music;1theK (ÏõêÎçîÏºÄÏù¥);24400000;23411691878;17842;2011
236;Music;Anuel AA;23800000;13368372558;138;2016
232;Entertainment;Zhong;23700000;13406531968;1315;2015
14;Music;netd m√ºzik;23600000;53867289619;22108;2014
284;Entertainment;Like Nastya AE;23600000;11954665940;615;2018
140;Music;Enrique Iglesias;23500000;17134012330;434;2007
177;People & Blogs;Mister Max;23500000;15273859533;1077;2014
169;Music;NickyJamTV;23400000;15524835660;363;2012
280;Music;Indosiar;23400000;12020712027;65623;2013
31;Comedy;LankyBox;23300000;31155421572;7307;2016
196;Gaming;Jelly;23300000;14549879967;5902;2014
199;People & Blogs;Miss Katy;23300000;14366178751;1021;2014
88;Entertainment;Sesame Street;23100000;21847663213;3564;2006
185;People & Blogs;Lady Gaga;22800000;14988431395;172;2008
61;Music;GMM GRAMMY OFFICIAL;22700000;25007763545;14685;2010
192;Entertainment;Dushyant kukreja;22600000;14741611081;763;2015
215;Music;The Chainsmokers;22500000;13840277557;166;2012
265;Music;Wave Music Bhojpuri;22500000;12611329246;22118;2014
141;People & Blogs;mmoshaya;22300000;17084720246;1169;2010
255;Music;Sia;22300000;12924915362;169;2007
262;Education;BabyBus - Canciones Infantiles & Videos para Ni√±os;22300000;12675495179;1122;2018
288;People & Blogs;NichLmao;22000000;11842283184;751;2018
287;Music;OneDirectionVEVO;21900000;11893387937;266;2010
247;Gaming;SSundee;21800000;13051786515;3219;2009
69;Gaming;FGTeeV;21700000;23458547498;1674;2013
259;Entertainment;Junya.„Åò„ÇÖ„Çì„ÇÑ;21500000;12893925588;4311;2020
179;Music;toyorbabytv;21400000;15232295427;1108;2012
263;Film & Animation;Kids TV - Nursery Rhymes And Baby Songs;21400000;12630830484;3634;2013
110;Entertainment;Disney Latinoam√©rica;21200000;20004403352;7985;2007
130;Music;Rotana;21100000;18126808736;8257;2012
131;People & Blogs;Sun TV;21100000;18099600022;48263;2016
242;People & Blogs;mujjuu___14;20900000;13176649526;769;2020
206;News & Politics;Tlnovelas;20800000;14174193231;35232;2013
193;Entertainment;Dan Rhodes;20700000;14734971617;1579;2015
253;Entertainment;GMA Public Affairs;20600000;12969612106;42560;2009
152;Music;Romeo Santos;20400000;16308908370;54;2005
132;People & Blogs;BuzzFeedVideo;20200000;17860330729;7493;2011
207;Entertainment;Mnet K-POP;20200000;14171133174;31339;2006
245;Entertainment;REACT;20000000;13056086166;4089;2007
264;Music;Linkin Park;20000000;12626456017;598;2006
219;Comedy;Shorts Break;19900000;13780532791;371;2021
293;Sports;NBA;19900000;11761981184;45177;2005
243;Music;Gusttavo Lima Oficial;19700000;13113052398;352;2010
84;Entertainment;CookieSwirlC;19300000;22362308350;3683;2013
105;Comedy;Alan Chikin Chow;19100000;20348395082;702;2020
62;Entertainment;Vijay Television;19000000;24990083268;40319;2007
258;Entertainment;Jimmy Kimmel Live;19000000;12902883527;6419;2006
149;Pets & Animals;That Little Puff;18900000;16582763026;672;2020
92;Entertainment;etvteluguindia;18700000;21665592262;120122;2010
171;Music;Calvin Harris;18700000;15509555710;77;2007
195;Entertainment;KBS WORLD TV;18700000;14632787311;61744;2007
228;Film & Animation;Turma da M√¥nica;18600000;13533043987;1135;2012
233;Music;7clouds;18600000;13405201404;2227;2013
279;Entertainment;CKN;18600000;12030471541;474;2015
68;Music;shakiraVEVO;18400000;24083534504;194;2009
261;Film & Animation;Sony AATH;18400000;12758281340;16954;2013
52;Entertainment;Tsuriki Show;18300000;26198962430;2299;2019
121;Music;GRAMMY GOLD OFFICIAL;18100000;19359121296;6012;2014
159;Film & Animation;Mother Goose Club Playhouse;17900000;15937415314;1369;2009
117;Music;ArianaGrandeVevo;17800000;19650537182;177;2010
125;People & Blogs;SMOL;17800000;18922831360;3008;2021
146;Music;SonyMusicSouthVEVO;17400000;16774817862;5462;2014
209;Education;Blippi - Educational Videos for Kids;17300000;14142222578;591;2014
174;Gaming;IGN;17200000;15441752708;153181;2006
197;Gaming;PopularMMOs;17200000;14534856183;4685;2012
201;Entertainment;Sagawa /„Åï„Åå„Çè;17000000;14347943068;4913;2021
202;Music;LuisFonsiVEVO;17000000;14308657223;96;2009
237;Entertainment;And TV;16900000;13364219788;29039;2015
277;Entertainment;AMARINTV : ‡∏≠‡∏°‡∏£‡∏¥‡∏ô‡∏ó‡∏£‡πå‡∏ó‡∏µ‡∏ß‡∏µ;16700000;12078065051;104717;2014
94;People & Blogs;LeoNata Family;16200000;21562386713;1871;2021
143;Comedy;Marta and Rustam;16100000;16949610714;606;2021
190;Film & Animation;El Payaso Plim Plim;16100000;14848903564;1133;2013
256;Entertainment;RCTI - LAYAR DRAMA INDONESIA;16100000;12906569229;66131;2015
278;Music;Pitbull;16100000;12071886355;335;2006
164;Gaming;Aphmau;15800000;15797575634;4231;2012
290;Entertainment;GMMTV OFFICIAL‚Äã‚Äã;15800000;11838649898;22174;2010
113;Entertainment;LEGO;15700000;19887333818;29807;2005
250;Film & Animation;Rotten Tomatoes Trailers;15700000;12981156477;10037;2011
223;News & Politics;Thairath Online;15600000;13634249471;230046;2010
221;Music;Henrique e Juliano;15300000;13765863650;315;2009
248;Entertainment;Yoeslan;15100000;13009287889;445;2020
281;Music;AdeleVEVO;15100000;12018947879;52;2009
296;Entertainment;Jake Fellman;15000000;11618626248;440;2012
211;Music;Genierock;14900000;14110650588;1623;2008
235;News & Politics;CNN;14800000;13371679587;158144;2005
244;Music;Fueled By Ramen;14700000;13058075071;1203;2006
187;Comedy;dednahype;14600000;14947769916;1381;2020
198;Entertainment;Disney Junior;14600000;14406350201;3718;2008
119;Music;Maroon5VEVO;14500000;19565971464;143;2009
180;Entertainment;Mazhavil Manorama;14400000;15227993247;80390;2011
129;Music;MalumaVEVO;14100000;18550458611;178;2011
270;News & Politics;ABC News;14100000;12373854954;77308;2006
134;Entertainment;ZEE5;14000000;17557695746;93640;2018
282;Comedy;Topper Guild;14000000;11997319531;644;2014
257;People & Blogs;ETV Jabardasth;13600000;12903392102;8662;2015
276;Music;Atlantic Records;13600000;12097238674;1544;2006
203;Entertainment;Saturday Night Live;13400000;14287683142;8226;2013
166;People & Blogs;Koray Zeynep;13300000;15748182269;10475;2016
167;Entertainment;Come Play With Me;13300000;15728169121;391;2014
106;Music;jbalvinVEVO;13200000;20330493553;235;2010
181;Music;EnriqueIglesiasVEVO;12900000;15101019022;136;2009
300;News & Politics;GMA News;12900000;11387663843;345736;2007
220;Music;Beyonc√©VEVO;12800000;13776803693;168;2009
226;People & Blogs;ZutiGang;12400000;13546973241;1135;2021
267;Music;DisneyChannelUK;12400000;12464867813;4382;2007
275;People & Blogs;XO TEAM;12400000;12161624272;2786;2021
274;Entertainment;YoungBoy Never Broke Again;12200000;12319098703;590;2015
295;Entertainment;eltrece;12100000;11709869278;159305;2014
238;Music;ChrisBrownVEVO;11900000;13317446177;297;2009
173;Music;Mundo Bita;11800000;15441838450;201;2011
213;Music;CalvinHarrisVEVO;11800000;14023574215;174;2009
102;News & Politics;Inside Edition;11500000;20650907165;29223;2012
297;Entertainment;DisneyJuniorUK;11300000;11586962179;2789;2010
294;Music;ChainsmokersVEVO;11100000;11734620739;246;2012
186;Comedy;MoniLina;10900000;14960422456;746;2021
153;Music;TheWeekndVEVO;10500000;16159144153;136;2011
286;People & Blogs;As/Is;10400000;11909217449;4824;2013
216;News & Politics;Fox News;10300000;13836378802;89842;2006
183;People & Blogs;Family Fun Pack;10100000;15017638068;2398;2011
292;Gaming;ItsFunneh;9840000;11791649003;2519;2011
239;Music;ImagineDragonsVEVO;9670000;13250789764;194;2012
249;Sports;SportsNation;9520000;12981801302;3337;2009
241;People & Blogs;ViralHog;9250000;13196225954;37537;2014
299;Entertainment;Mnet TV;9040000;11442069884;21617;2013
285;Entertainment;Kaji Family;9020000;11946387556;977;2016
251;Music;LadyGagaVEVO;8980000;12979564197;204;2009
148;Entertainment;MBCentertainment;8930000;16690512755;95914;2009
231;Music;RomeoSantosVEVO;8820000;13436014930;209;2011
218;Entertainment;Asianet;8800000;13823755228;109018;2008
291;Music;michaeljacksonVEVO;8080000;11806216949;138;2009
170;Entertainment;Fischer's-„Éï„Ç£„ÉÉ„Ç∑„É£„Éº„Ç∫-;7890000;15511361529;3038;2012
266;Entertainment;Beam Copphone;7610000;12528044071;2737;2012
298;Entertainment;JTBC Entertainment;7580000;11512332695;76838;2012
224;Entertainment;Tarang TV;7020000;13631541685;44772;2012
283;Comedy;Êù±Êµ∑„Ç™„É≥„Ç®„Ç¢;6830000;11958012432;2657;2013
230;Music;KarolGVEVO;3720000;13512082882;66;2016
